E6A55_00005,"dnaA",Essential
E6A55_00010,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00015,"gyrB",Dispensable
E6A55_00020,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00025,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00030,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00035,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00040,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00045,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00050,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00055,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00060,"Derived by automated computational analysis usinggene prediction method: GeneMarkS-2+.",Dispensable
E6A55_00065,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00070,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00075,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00080,"frameshifted; incomplete; partial on completegenome; missing N-terminus; Derived by automatedcomputational analysis using gene prediction method:Protein Homology.",Dispensable
E6A55_00085,"incomplete; partial on complete genome; missingN-terminus; Derived by automated computational analysisusing gene prediction method: Protein Homology.",Dispensable
E6A55_00090,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00095,"Derived by automated computational analysis usinggene prediction method: GeneMarkS-2+.",Dispensable
E6A55_00100,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00105,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00110,"frameshifted; internal stop; incomplete; partial oncomplete genome; missing N-terminus and C-terminus; Derivedby automated computational analysis using gene predictionmethod: Protein Homology.",Dispensable
E6A55_00115,"Derived by automated computational analysis usinggene prediction method: GeneMarkS-2+.",Dispensable
E6A55_00120,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00125,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00130,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00135,"incomplete; partial on complete genome; missingN-terminus; Derived by automated computational analysisusing gene prediction method: Protein Homology.",Dispensable
E6A55_00140,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00145,"incomplete; partial on complete genome; missingC-terminus; Derived by automated computational analysisusing gene prediction method: Protein Homology.",Dispensable
E6A55_00150,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00155,"frameshifted; Derived by automated computationalanalysis using gene prediction method: Protein Homology.",Dispensable
E6A55_00160,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00165,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00170,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00175,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00180,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00185,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00190,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00195,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00200,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00205,"frameshifted; internal stop; incomplete; partial oncomplete genome; missing N-terminus and C-terminus; Derivedby automated computational analysis using gene predictionmethod: Protein Homology.",Dispensable
E6A55_00210,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00215,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00220,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00225,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00230,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00235,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00240,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00245,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00250,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00255,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00260,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00265,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00270,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00275,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00280,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00285,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00290,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00295,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00300,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00305,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00310,"dbpA",Dispensable
E6A55_00315,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
